,Abbreviation,Team,Wins,Losses,OTL,Goals For,Goals Against,Points
1,FLA,Florida Panthers,53.76958638755243,24.07628958405658,4.154124028391,321.19832318481934,241.07443374297654,111.69329680349585
2,CAR,Carolina Hurricanes,53.626098839912615,23.99826274138797,4.37563841869944,294.971361135884,220.608573376346,111.62783609852467
3,TBL,Tampa Bay Lightning,53.31087476273299,24.499378174209696,4.189747063057313,325.65512230401856,247.2512874831943,110.8114965885233
4,EDM,Edmonton Oilers,53.384201470588295,24.68034449303623,3.9354540363754733,362.18552785838034,276.70225512459723,110.70385697755206
5,DAL,Dallas Stars,52.44950743709777,25.22416999924486,4.326322563657347,324.17183495536653,251.12873904649035,109.22533743785289
6,TOR,Toronto Maple Leafs,52.42508239464823,25.336142094648366,4.238775510703395,337.0288882606677,261.6966636976967,109.08894029999985
7,COL,Colorado Avalanche,51.991960811026075,25.729202580352712,4.278836608621217,339.409976094881,267.1509379579996,108.26275823067337
8,WPG,Winnipeg Jets,49.12977889322601,27.771247745355904,5.0989733614180865,289.09186356935544,240.51611953444612,103.35853114787011
9,NYR,New York Rangers,48.936657408093694,28.113562431637078,4.9497801602692215,308.50724262563176,258.6992309643836,102.82309497645662
10,NJD,New Jersey Devils,47.448986490886575,29.470813106381918,5.080200402731502,315.8293777782219,274.1546293258327,99.97817338450466
11,BOS,Boston Bruins,46.77084755825872,29.803454441991292,5.425697999749979,288.5070591616488,253.1946165280755,98.96739311626743
12,NSH,Nashville Predators,46.419288402975894,30.403115693222038,5.1775959038020725,318.86558616614275,283.26906174889336,98.01617270975386
13,VAN,Vancouver Canucks,45.566597518436254,31.234964049306676,5.198438432257083,327.4732045014985,296.51642183244485,96.33163346912959
14,LAK,Los Angeles Kings,45.300125752397,31.033342611482713,5.666531636120284,283.2216395797356,257.04605815040065,96.26678314091428
15,SEA,Seattle Kraken,45.01759200890711,31.1975635103016,5.784844480791286,275.9720264818144,251.91468679105247,95.82002849860551
16,PIT,Pittsburgh Penguins,44.526191627372775,31.905224766663885,5.568583605963342,302.0052533866155,279.1554772920659,94.62096686070889
17,VGK,Vegas Golden Knights,43.72122249966148,32.446005948671456,5.832771551667054,285.7030946835023,268.64451380450106,93.27521655099001
18,MIN,Minnesota Wild,43.686116452617895,32.48236203800551,5.8315215093765875,286.0193194520916,269.09304538423675,93.20375441461238
19,BUF,Buffalo Sabres,38.86539725326171,36.66457521658361,6.470027530154673,275.39804568294636,287.3199400965985,84.20082203667809
20,NYI,New York Islanders,38.65163404867953,36.92950589461286,6.418860056707596,279.6790180455801,293.1197575526228,83.72212815406667
21,CGY,Calgary Flames,35.6691013040931,39.590525769435544,6.740372926471334,272.6627360724892,305.05361999114604,78.07857553465753
22,DET,Detroit Red Wings,35.15846791730824,40.270886876465894,6.570645206225862,288.7630196028842,325.63752240222254,76.88758104084235
23,STL,St. Louis Blues,34.55827437753287,40.67781120002599,6.7639144224411405,275.97225147991793,315.8168191216324,75.88046317750688
24,PHI,Philadelphia Flyers,33.9353788703518,40.871977702373606,7.192643427274631,250.24414104358294,291.43305286914904,75.06340116797823
25,OTT,Ottawa Senators,32.85936842576798,42.51285537747297,6.627776196759032,291.9261975627396,345.54898355812645,72.346513048295
26,WSH,Washington Capitals,32.59516712903483,42.411344184036075,6.993488686929094,267.32623836501114,319.44401532293597,72.18382294499875
27,UTA,Utah Hockey Club,26.987866908027875,48.038446168548795,6.973686923423337,273.8617036258888,369.7015614254047,60.94942073947909
28,CHI,Chicago Blackhawks,26.282355464029298,48.17618630306053,7.541458232910141,241.11635841916797,333.74921349658086,60.10616916096873
29,ANA,Anaheim Ducks,25.831265301481928,48.76926411726871,7.399470581249347,248.0756460950837,346.24757355407434,59.0620011842132
30,CBJ,Columbus Blue Jackets,25.672470185284464,48.86024695965748,7.467282855058057,243.8327379810656,341.9323324470827,58.81222322562699
31,MTL,Montréal Canadiens,24.130780353729346,50.52668592304822,7.34253372322244,249.47340564273165,361.45899057470444,55.60409443068113
32,SJS,San Jose Sharks,23.321755745025165,50.83724957599267,7.840994678982171,220.6311023392233,330.4991689406744,54.4845061690325
